Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight
2024-08-29,GOOGL,161.3806610107422,161.77999877929688,165.97000122070312,160.25,164.30999755859375,19699800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-30,GOOGL,162.97671508789062,163.3800048828125,163.66000366210938,161.69000244140625,162.6199951171875,22123800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-03,GOOGL,156.97157287597656,157.36000061035156,161.85000610351562,156.47999572753906,161.72000122070312,38945300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-04,GOOGL,156.06381225585938,156.4499969482422,159.0,155.9600067138672,156.66000366210938,19353800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-05,GOOGL,156.85186767578125,157.24000549316406,159.4499969482422,155.97999572753906,156.3000030517578,18688700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-06,GOOGL,150.54745483398438,150.9199981689453,157.8300018310547,150.5500030517578,157.3000030517578,37912100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-09,GOOGL,148.53976440429688,148.7100067138672,153.39999389648438,147.22000122070312,152.50999450683594,39260500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-10,GOOGL,148.4898223876953,148.66000366210938,151.27000427246094,148.33999633789062,150.4499969482422,31118800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-11,GOOGL,150.98695373535156,151.16000366210938,151.5,147.52000427246094,149.9199981689453,29607700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-12,GOOGL,154.51292419433594,154.69000244140625,154.82000732421875,152.64999389648438,153.8000030517578,29695000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-13,GOOGL,157.27975463867188,157.4600067138672,158.3800048828125,155.2100067138672,155.42999267578125,29591200.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-16,GOOGL,157.87905883789062,158.05999755859375,158.25,156.60000610351562,157.30999755859375,18379800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-17,GOOGL,159.1376190185547,159.32000732421875,160.5500030517578,158.3800048828125,159.02000427246094,20715600.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-18,GOOGL,159.62705993652344,159.80999755859375,160.5,158.60000610351562,159.86000061035156,23677300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-19,GOOGL,161.9543914794922,162.13999938964844,163.7899932861328,161.33999633789062,163.7100067138672,26587700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-20,GOOGL,163.40272521972656,163.58999633789062,163.72999572753906,162.05999755859375,163.5,40896400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-23,GOOGL,161.6647186279297,161.85000610351562,165.49000549316406,161.6699981689453,164.35000610351562,24150900.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-24,GOOGL,162.1042022705078,162.2899932861328,163.22000122070312,160.69000244140625,163.02999877929688,23332100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-25,GOOGL,161.3051300048828,161.49000549316406,162.80999755859375,161.3000030517578,161.47000122070312,18869200.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-26,GOOGL,162.543701171875,162.72999572753906,164.0800018310547,162.27999877929688,163.63999938964844,20319300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-27,GOOGL,163.76231384277344,163.9499969482422,165.6999969482422,162.6300048828125,162.80999755859375,21101300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-09-30,GOOGL,165.66014099121094,165.85000610351562,166.14999389648438,163.25999450683594,163.32000732421875,20413900.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-01,GOOGL,166.79884338378906,166.99000549316406,169.16000366210938,164.5800018310547,167.69000244140625,28338100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-02,GOOGL,165.67013549804688,165.86000061035156,167.52000427246094,164.72999572753906,166.4199981689453,17760200.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-03,GOOGL,165.67013549804688,165.86000061035156,166.63999938964844,163.9199981689453,164.41000366210938,15073100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-04,GOOGL,166.86875915527344,167.05999755859375,168.22999572753906,165.47999572753906,168.05999755859375,19047400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-07,GOOGL,162.79342651367188,162.97999572753906,168.47999572753906,162.75,167.72000122070312,22463100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-08,GOOGL,164.19183349609375,164.3800048828125,164.72999572753906,162.8699951171875,163.94000244140625,23072700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-09,GOOGL,161.67471313476562,161.86000061035156,164.83999633789062,159.74000549316406,163.4499969482422,31181800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
